"","Quality Score","SDGi","Life Expectancy","HDI","Per Capita GDP","Region","Income Group","Population (millions)","Cropland_Footprint_Production","Grazing_Footprint_Production","Forest_Footprint_Production","Fish_Footprint_Production","BuiltUp_Footprint_Production","Carbon_Footprint_Production","Total_Footprint_Production","Cropland_Footprint_Consumption","Grazing_Footprint_Consumption","Forest_Footprint_Consumption","Fish_Footprint_Consumption","Carbon_Footprint_Consumption","Total_Footprint_Consumption","Grazing land","Forest land","Fishing ground","Total_Biocapacity"
"Congo","3A",52.9,64.29,0.573,2303.97995465553,"Africa","LM",5.24435986328125,0.363720938587088,0.500369766595277,0.836342226007514,0.35617676239166,0.070810930747919,0.256514954729343,0.940286261541616,0.37399113717305,0.305609723827228,0.479637845302582,0.258701164799755,0.331281514212327,1.02807457935432,0.68718340738949,3.75328153247953,1.35078458358423,8.7776089517278
"Congo, Democratic Republic of","3A",49.3,60.368,0.478,418.988883361583,"Africa","LI",84.0681015625,0.208885570147107,0.00835102484398185,0.422197690737425,0.00529529691478538,0.0608518219872606,0.00927517378275823,0.714856578413318,0.224335307895646,0.0100739821946191,0.421817933473999,0.0159806977985287,0.0489688611183723,0.782028604468426,0.250075268433282,1.6036486078802,0.0360784258997131,2.15953969434756
"Costa Rica","3A",73.6,75.5751111746032,0.808,9936.59301486209,"Central America/Caribbean","UM",4.99943994140626,0.362838022539974,0.271990943710331,0.429596456559841,0.0461857866293961,0.089595767700434,0.558865304963722,1.7590722821037,0.378971683092413,0.206490981225081,0.661118263842796,0.0981642294746287,1.01190618035693,2.44624710569229,0.271990943710331,0.663899096578462,0.114140529697404,1.50246436022661
"Côte d'Ivoire","3A",57.6,57.422,0.534,1667.94318538608,"Africa","LM",25.06919921875,1.07573300978485,0.0186592773159155,0.2052249708808,0.0419329571277421,0.110831564227826,0.15120394875043,1.60358572808756,0.573612921124124,0.0444125176857928,0.215035431115164,0.189740969021868,0.262749440538295,1.39638284371307,0.460986541447211,0.108047998259597,0.0328941626820584,1.78849327640154
"Croatia","3A",80.4,78.0707,0.848,15707.7041511779,"Other Europe","HI",4.15639990234374,0.707251724369652,0.0328763898856869,0.772826226064721,0.0471763609481186,0.0779440821191596,1.43189277206336,3.0699675554507,0.621641785924113,0.178736183528962,0.648162337678429,0.0780686859205364,2.27631149753694,3.88086457270814,0.139069745841961,1.56322944073422,0.344997389728195,2.83249238279318
"Cuba","3A",73.7,78.726,0.781,6816.9184133902,"Central America/Caribbean","UM",11.3380996093749,0.491214343874139,0.139626402910477,0.202976677027646,0.0733926838437047,0.065238620621359,0.957265669983028,1.25655303561614,0.54050357853004,0.185910388672751,0.22329166982697,0.0901650665690462,1.11049452627136,1.76110462900539,0.136155873048929,0.264997166274287,0.115248079363585,0.768483504663401
"Cyprus","2B",74.9,80.828,0.885,23394.9393687452,"EU","HI",1.18927001953125,0.557404156004135,0.14773049908977,0.655334695130939,0.195731224148107,0.0883318867159843,1.898991222592,2.0992040652454,0.688465781539403,0.279298174450425,0.584953476428899,0.161653963050401,2.59807234567645,3.85016788334156,0.167147960755234,1.42776831745596,0.419379543284778,0.205836195259047
"Czech Republic","3A",81.4,79.0293,0.898,23720.8992721539,"EU","HI",10.6657001953125,0.852452413995418,0.0783050962092146,1.54531997460859,0.0014894260502505,0.123454604833586,3.3420830422821,5.94310455797916,0.656119263637913,0.329684497469213,1.07574302706189,0.0391080339773337,3.49352351751608,5.71763294449601,0.0783050962092146,1.27301728354201,0.00199576675165565,2.32922516533189
"Denmark","3A",84.9,80.9537,0.939,64671.6968459883,"EU","HI",5.7521298828125,1.35691122972354,0.00903610769621985,0.350006813183871,0.572613727471708,0.158076648337212,1.94824709004259,4.39489161645514,0.702308675535776,0.469323949930319,1.06115959522974,0.812304625880033,3.45021385881744,6.65338735373052,0.00903610769621985,0.3389603160948,1.75530882351399,3.61829312536576
"Djibouti","2A",53.8,66.582,0.518,3263.34384994447,"Africa","LM",0.958922973632809,0.016971697422391,0.208936671086637,0.157164626598094,0.0245136441557069,0.215456551427915,0.284709055691553,0.907752246382297,1.49324711582379,0,0.300297708510985,0.0335568338880457,0.395830036218774,2.43838824586951,0.208936671086637,0.00198551221719291,0.270715061040397,0.714065493194533
