Country,Quality Score,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Fish Footprint,Built up land,Carbon Footprint,Total Ecological Footprint (Production),Cropland Footprint.1,Grazing Footprint.1,Forest Product Footprint.1,Fish Footprint.1,Built up land.1,Carbon Footprint.1,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land.2,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required,"actual 
Country Overshoot Day 
2018"
Iraq,2A,63.8,70.454,0.671,5463.968804966208,Middle East/Central Asia,LM,38.4336015624999,0.0795607794435703,0.0160751472616668,0.00222324526011514,0.00154587700111708,0.0189125821639658,1.16966057076554,1.28797820189598,0.377793883839003,0.0491718638349949,0.0242881527503608,0.0102363239468494,0.0189125821639658,1.28392824063611,1.76433104717128,0.0795607794435703,0.0160751472616668,0.039578160146324,0.00204827577548811,0.0189125821639658,0.156174944791015,-1.608156102380265,1.1148139505666688,11.297145323356533,1900-11-22 09:48:48.243
Ireland,2A,81.0,82.2561,0.951,77406.93104050336,EU,HI,4.81868994140624,0.388757880981797,0.730523137374873,0.496037791897074,0.384090586030775,0.0770595046519892,2.65830882404985,4.73477772498636,0.939299173015885,0.324401160107655,0.594408197939895,0.149722130461269,0.0770595046519892,3.16601151248223,5.25090167865892,0.388757880981797,0.730523137374873,0.457542213970211,1.41888061255811,0.0770595046519892,3.07276334953698,-2.17813832912194,3.3178458508725788,1.7088532637731941,1900-04-19 00:16:02.384
Israel,3A,75.0,82.8024,0.916,36866.823354394364,Middle East/Central Asia,HI,8.38151953125,0.102443191656472,0.00607694436082369,0.00215990026933754,0.00107674123733061,0.0343609689929348,2.55307387249955,2.69919161901645,0.72038694872126,0.323882251120545,0.298623285170614,0.0812216582610219,0.0343609689929348,3.20094344521922,4.65941855748559,0.102443191656472,0.00607694436082369,0.0256753947850715,0.014640234032181,0.0343609689929348,0.183196733827483,-4.476221823658107,2.9441100737541417,25.43396085802152,1900-05-02 23:25:56.027
Italy,3A,78.8,83.3463,0.89,35277.49798672804,EU,HI,60.6618984374998,0.373693206732183,0.0332884176105788,0.0926354400463493,0.0226685771194234,0.0416424439511577,1.86611073926285,2.43003882472254,0.765745678185857,0.282116677136357,0.466807362156335,0.13545161704492,0.0416424439511577,2.61876884262477,4.3105326210994,0.373693206732183,0.0332884176105788,0.312043397262073,0.0608034022072346,0.0416424439511577,0.821470867763227,-3.4890617533361725,2.7236622673952247,5.247334738523956,1900-05-13 00:15:28.066
Jamaica,3A,69.0,74.368,0.734,4855.273532157433,Central America/Caribbean,UM,2.9348500976562404,0.111248232544828,0.0,0.101302674997861,0.0062027830175142,0.0331781543225395,0.999181924297829,1.25111376918057,0.423745728719369,0.0833046521617368,0.176773950271544,0.0902684075688711,0.0331781543225395,0.826584922653549,1.63385581569761,0.111248232544828,0.0,0.166891630685438,0.107362413274779,0.0331781543225395,0.418680430827583,-1.2151753848700269,1.0323715945907486,3.902393556985827,1900-12-18 13:19:00.353
Japan,3A,79.8,84.211,0.917,48505.52664266323,Asia-Pacific,HI,127.201999999999,0.084842001953366,3.06992960134644e-05,0.144963165745261,0.164612138452511,0.0604903805222902,3.11011018147148,3.56504856744092,0.439604144787847,0.122229939378897,0.226045669374949,0.25903895801731,0.0604903805222902,3.50028329391802,4.60769238599932,0.0848420019533659,0.00745216834716065,0.339437266189007,0.0998715654057646,0.0604903805222902,0.592093382417589,-4.01559900358173,2.9114262655341645,7.782036622644815,1900-05-04 08:50:04.453
Jordan,3A,70.1,74.405,0.728,3306.6573844763175,Middle East/Central Asia,UM,9.96532031250001,0.0545734951416523,0.012390493703575,0.0140672977215586,0.000616064019211692,0.0636100201907004,0.851309767484133,0.996567138260831,0.434926051134579,0.126572177629127,0.130518294448979,0.0235078997103074,0.0636100201907004,0.97792141695212,1.75705586006581,0.0545734951416523,0.012390493703575,0.0180395661875549,0.00203799486173356,0.0636100201907004,0.150651570085216,-1.606404289980594,1.1102170354405851,11.663043797498638,1900-11-23 18:20:56.800
Kazakhstan,3A,71.6,73.15,0.819,11135.61455216547,Middle East/Central Asia,UM,18.3195996093749,1.55737675312407,0.144391019140332,0.0102532953958435,0.0170180621441883,0.0493961184129718,4.09818642119953,5.87662166941693,0.919087105094547,0.164912577360605,0.0608458234635856,0.0231055203637727,0.0493961184129718,3.73353856803203,4.95088571272752,1.55737675312407,1.70341463283867,0.214119940761096,0.0501424254687294,0.0493961184129718,3.57444987060554,-1.37643584212198,3.1282771275032903,1.3850762752168073,1900-04-25 16:15:48.303
"Korea, Republic of",3A,78.6,82.6268,0.914,28335.97519991481,Asia-Pacific,HI,51.17169921875,0.115833907308939,0.000841145420109955,0.0599839537485426,0.313474646364342,0.0547925581804023,4.34070986775819,4.88563607878052,0.68825127818487,0.184888534583546,0.226605059766932,0.429459812458174,0.0547925581804023,4.73282258856045,6.31681983173438,0.115833907308939,0.000841145420109955,0.0885727824549463,0.383698925082458,0.0547925581804023,0.643739318446856,-5.673080513287524,3.9913591516309377,9.812698480147079,1900-03-31 10:44:27.982
Kuwait,3A,62.5,75.398,0.807,33113.30261927857,Middle East/Central Asia,HI,4.13731005859375,0.0215119356978849,0.00548629660799952,0.00186391777764819,0.00332985973999889,0.18029306824404,7.71846049506138,7.93094557312895,0.670340624555402,0.277363050333027,0.20400116984755,0.0858712381246156,0.18029306824404,6.48186084723686,7.8997299983415,0.0215119356978849,0.00548629660799952,0.00278531735211414,0.291276846843924,0.18029306824404,0.501353464745963,-7.3983765335955365,4.991540120535078,15.756807429952264,1900-03-13 02:58:09.717
Lao People's Democratic Republic,3A,63.0,67.61,0.609,1785.5813301256514,Asia-Pacific,LM,7.061509765625019,0.744426558258783,0.0828405714786625,0.448903828681297,0.0141008293316803,0.152221588888012,0.861961635848723,2.30445501248716,0.743437508535126,0.242819774473673,0.362939349387282,0.0164409420245198,0.152221588888012,0.322027671003662,1.83988683431227,0.744426558258783,0.11699467057589,0.652271902502841,0.0309699136384695,0.152221588888012,1.696884633864,-0.14300220044827006,1.1625547901816984,1.084273378162803,1900-11-08 23:07:43.429
Latvia,3A,79.2,74.7829,0.863,16252.398615921245,EU,HI,1.92845996093749,1.31554579552962,0.15750509750384,4.29584512797944,0.284350258608182,0.0921169922471509,1.40537226363663,7.55073553550487,0.792463096716113,0.146518151836528,3.19164857956522,0.25642785040817,0.0921169922471509,1.92599917232361,6.40517384309679,1.31554579552962,0.24005946902462,4.44519646149351,2.06275249444696,0.0921169922471509,8.15567121274186,1.7504973696450694,4.047186704296443,0.7853644017784566,1900-03-30 04:27:59.364
Lebanon,3A,66.8,78.875,0.747,6204.862959130629,Middle East/Central Asia,UM,6.859410156249989,0.125671967836407,0.0304359138448088,0.00174653506824409,0.00300245998466896,0.0539079149351823,1.36652591139627,1.58129070306558,0.581943833647208,0.330453241604065,0.146353124564089,0.0422873440338993,0.0539079149351823,1.80877174402287,2.96371720280731,0.125671967836407,0.0304359138448088,0.0382042536976029,0.00493782788577859,0.0539079149351823,0.253157878199779,-2.710559324607531,1.8726606259756335,11.706991794537396,1900-07-12 21:50:10.962
Libyan Arab Jamahiriya,3A,,72.724,0.721,8038.589086418168,Africa,UM,6.67856005859375,0.121274473835355,0.209920520367898,0.0708688440560311,0.0434475713463991,0.0152641974663204,2.45947117887965,2.92024678595166,0.726751266613597,0.237818950067973,0.0961283038667272,0.0926375472737127,0.0152641974663204,2.11253434201362,3.28113460730195,0.121274473835355,0.209920520367898,0.0180095289659331,0.234782150183674,0.0152641974663204,0.59925087081918,-2.68188373648277,2.0732246591544565,5.475393974507899,1900-06-24 01:18:06.682
Lithuania,3A,76.7,75.6805,0.876,17744.05082952606,EU,UM,2.80126000976563,1.85719184169974,0.145052481367677,1.52280527741787,0.134357921362977,0.123577088845067,1.63226342313429,5.41524803382763,0.846849657365372,0.339866907538056,1.35188958064444,0.208655247167406,0.123577088845067,3.12994611790574,6.00078459946608,1.85719184169974,0.146038294351858,2.30220391813019,0.320908091540096,0.123577088845067,4.74991923456695,-1.2508653648991297,3.791668460721118,1.2633445545339195,1900-04-05 06:19:42.878
Luxembourg,3A,74.2,82.2951,0.913,111380.64947802795,EU,HI,0.604244995117186,0.296401959170984,0.0724501544355179,0.470086104032475,0.0,0.084863256857732,5.34012091446639,6.2639223889631,0.842740338253691,0.600762026457099,1.58892628827283,0.137490716169904,0.084863256857732,9.69557638641782,12.9503590124291,0.296401959170984,0.0724501544355179,0.753402715065122,0.000603216546725945,0.084863256857732,1.20772130207608,-11.74263771035302,8.182841261593007,10.722969769736906,1900-02-13 14:31:58.094
Malaysia,3A,70.9,75.997,0.805,12116.214158842971,Asia-Pacific,UM,31.5279999999999,0.721965710043476,0.00196731355002335,0.356231789994165,0.411171946629692,0.0701834551716671,2.64920317782693,4.21072339321595,0.708311652782241,0.133881272267589,0.360094744664072,0.432480180161631,0.0701834551716671,2.5545031330091,4.2594544380563,0.721965710043476,0.0169637669750814,0.572719425809462,0.779301378388529,0.0701834551716671,2.16113373638822,-2.0983207016680803,2.691387898524745,1.9709351468340337,1900-05-14 14:49:34.524
